linha_origem,Munícipios,EstacaoCodigo,Rios,Coordenadas (UTM),Altitude (m),Campanha,Periodo certificação,Ano,Data,Hora,Temp Ar,Temp Amostra,pH,Turbidez,Condutividade Eletrica,DBO,OD,OD (%),SolSuspensaoTotais,SolDissolvidosTotais,FosfatoTotal,NitrogenioTotal,NitrogenioAmoniacal,Nitratos,ColiformesTotais,AlcalinidadeTotal,CarbonoOrganicoTotal,OrtofosfatoTotal,DescargaLiquida,FosforoTotal,IQA,ColiformesTermotolerantes,Escherichia,CondutividadeEspecifica,Cloreto,Ortofosfato Dissolvido,IQA %,IQA CETESB
63,MANCIO LIMA,12430000,MOA,,,Primeira,Quinto,2018,2018-08-21, 10:00:00,25.9,26.89,6.6,63.27,30.33,,6.58,,0.043,16.29,,0.5,,,,,,,,0.01,,,,,,,,
64,FEIJO,12660000,ENVIRA,,,Primeira,Quinto,2018,2018-08-22,09:00,22.62,25.63,8.27,84.44,372.39999,,7.33,,0.06685,154.89999,,0.04,,,,,,,,0.01,,,,,,,,
65,MANOEL URBANO ,13190000,PURUS,,,Primeira,Quinto,2018,2018-08-23,08:12,26.7,26.78,8.32,54.54,329.10001,,7.76,,0.041,133.89999,,2.6,,,,,,,,0.9,,,,,,,,
66,SENA MADUREIRA,13408000,IACO,,,Primeira,Quinto,2018,2018-08-24,08:00,27.15,26.14,7.61,332.26001,208.60001,,5.76,,0.2221,85.7,,3.04,,,,,,,,0.01,,,,,,,,
67,BRASILEIA,13459000,ACRE,,,Primeira,Quinto,2018,2018-08-31,06:32,23.01,26.47,7.68,48.11,,,7.14,,0.03528,45,,0.04,,,,,,,,0.01,,<1,,,,,,
68,ASSIS BRASIL,13438000,ACRE,,,Primeira,Quinto,2018,2018-08-31,08:30,25.49,27.81,8.04,43.02,,,7.3,,0.00448,140.5,,1.1,,,,,,,,0.01,,<1,,,,,,
69,XAPURI,13550001,ACRE,,,Primeira,Quinto,2018,2018-08-31,08:45,26.85,25.6,7.21,120.76,,,7.59,,0.0917,38,,2.2,,,,,,,,1.5,,<1,,,,,,
70,RIO BRANCO,13601000,ACRE,,,Primeira,Quinto,2018,2018-09-03,10:00,27.69,27.02,7.28,173.11,,,6.75,,0.1622,29.6,,2.7,,,,,,,,0.01,,<1,,,,,,
71,SENADOR GUIOMARD,13770000,IQUIRI,,,Primeira,Quinto,2018,2018-09-04,09:23,24.48,22.93,7.84,33.6,16.9,,6.81,,0.02851,8.39,,1.9,,,,,,,,0.01,,,,,,,,
72,PORTO ACRE ,13610001,ACRE,,,Primeira,Quinto,2018,2018-09-05,09:15,23.39,26.46,7.79,127.69,73.6,,6.76,,0.12,31.3,,0.04,,,,,,,81,0.01,,<1,,,,,,
73,PLACIDO DE CASTRO,15324300,ABUNA,,,Primeira,Quinto,2018,2018-09-06, 08:30:00,21.06,24.2,7.01,83.13,20.7,,7.44,,0.05044,9.91,,0.8,,,,,,,25,2.9,,,,,,,,
74,FEIJO,12660000,ENVIRA,,,Segunda,Quinto,2018,2018-11-20,07:37,26.46,27.4,6.54,473.07001,188.10001,,5.3,,0.026,69,,0.04,,,,,,,,0.01,,,,,,,,
75,MANOEL URBANO ,13190000,PURUS,,,Segunda,Quinto,2018,2018-11-20,10:45,27.95,28.92,6.65,217.84,178.60001,,5.98,,0.045,98,,2.2,,,,,,,,0.2,,,,,,,,
76,SENA MADUREIRA,13408000,IACO,,,Segunda,Quinto,2018,2018-11-20,13:35,28.4,26.84,5.66,412.01999,64.1,,5.48,,0.182,92,,2.5,,,,,,,,0.01,,,,,,,,
77,ASSIS BRASIL,13438000,ACRE,,,Segunda,Quinto,2018,2018-11-22,08:40,26.69,26.78,5.98,548.75,,,5.92,,0.0102,54,,0.9,,,,,,,,0.01,,<1,,,,,,
78,BRASILEIA,13459000,ACRE,,,Segunda,Quinto,2018,2018-11-22,10:50,26.89,26.13,5.8,869.57001,,,4.68,,0.0426,62,,0.04,,,,,,,,0.01,,<1,,,,,,
79,XAPURI,13550001,ACRE,,,Segunda,Quinto,2018,2018-11-22,13:25,28.67,27.03,5.86,707.33002,,,4.62,,0.1201,68,,1.2,,,,,,,,6.1,,<1,,,,,,
80,MANCIO LIMA,12430000,MOA,,,Segunda,Quinto,2018,2018-11-24,08:00,27.4,26.7,5.5,40.04,25.9,,3.89,,0.046,18,,0.4,,,,,,,,0.01,,,,,,,,
81,CRUZEIRO DO SUL ,12500004,JURUA,,,Segunda,Quinto,2018,2018-11-24,09:00,26.2,25.6,5.61,268.10999,49.8,,2.46,,0.065,40,,0.04,,,,,,,,0.05,,,,,,,,
82,SENADOR GUIOMARD,13770000,IQUIRI,,,Segunda,Quinto,2018,2018-11-26, 11:20:00,28.48,26.04,5.21,94.04,20.6,,6.07,,0.026,32,,1.6,,,,,,,,0.01,,,,,,,,
83,TARAUACA,12600002,TARAUACA,,,Segunda,Quinto,2018,2018-11-29,07:00,24.8,25.9,4.72,460.82999,116.6,,4.58,,0.042,70,,0.04,,,,,,,,0.01,,,,,,,,
84,PORTO ACRE ,13610001,ACRE,,,Segunda,Quinto,2018,2018-12-06, 08:40:00,26.9,26.7,7.7,280.67001,44.8,,4.94,,,,,,,,,,,,604,,,<1,,,,,,
85,PLACIDO DE CASTRO,15324300,ABUNA,,,Segunda,Quinto,2018,2018-12-08,08:45,25.9,25.6,8.3,75.65,21.1,,6.01,,0.032,42,,0.6,,,,,,,125,1.9,,,,,,,,
86,MARECHAL THAUMATURGO ,12369000,JURUA,,,Segunda,Quinto,2018,2018-12-11, 06:00:00,24.4,27.1,8.77,258.60999,209.5,,6.39,,0.0766,62,,0.04,,,,,,,,0.01,,,,,,,,
87,RIO BRANCO,13601000,ACRE,,,Segunda,Quinto,2018,2018-12-17,09:00,24,27.5,9.54,193.28,,,6.26,,0.162,46,,1.7,,,,,,,,0.1,,<1,,,,,,
88,PORTO WALTER ,12389000,JURUA,,,Segunda,Quinto,2018,2018-12-23, 07:00:00,24.4,25,4.79,490.54999,72.5,,3.94,,0.0682,72,,0.04,,,,,,,,0.01,,,,,,,,
89,JORDAO,12557000,TARAUACA,,,Segunda,Quinto,2018,2018-12-29,10:40,27.7,26.64,6.94,110.73,308.89999,,6.91,,0.0656,90.8,,0.04,,,,,,,,0.01,,,,,,,,
90,MANCIO LIMA,12430000,MOA,,,Primeira,Sexto,2019,2019-02-19,09:00,26.76,25.05,5.26,9.68,,,3.9,,,17.38,,,0.25,,,,,,,0.002,,,,16.9,,,,
91,CRUZEIRO DO SUL ,12500004,JURUA,,,Primeira,Sexto,2019,2019-02-10,10:30,26.9,25.8,6.07,341.10999,,,4.49,,,38.9,,,0.08,,,,,,,0.02,,,,68.7,,,,
92,TARAUACA,12600002,TARAUACA,,,Primeira,Sexto,2019,2019-02-20, 08:00:00,25.67,27.15,7.02,430.45999,,,6.15,,,67.6,,,0.12,,,,,,,0.64,,,,164,,,,
93,FEIJO,12660000,ENVIRA,,,Primeira,Sexto,2019,2019-02-20,14:30,25.45,27.58,7.11,640.29999,,,5.38,,,99,,,0.04,,,,,,,0.002,,,,251.7,,,,
94,MANOEL URBANO ,13190000,PURUS,,,Primeira,Sexto,2019,2019-02-21,10:20,28.34,27,6.52,796.59998,,,4.43,,,17.9,,,1.4,,,,,,,0.12,,,,137.9,,,,
95,SENA MADUREIRA,13408000,IACO,,,Primeira,Sexto,2019,2019-02-21,13:30,26.87,26.67,6.22,920.25,,,3.75,,,59.5,,,1.69,,,,,,,0.002,,,,67.6,,,,
96,PLACIDO DE CASTRO,15324300,ABUNA,,,Primeira,Sexto,2019,2019-02-22,16:50,25.4,25.9,5.59,33.11,,,4.42,,,108.3,,,0.129,,,,,,326,1.59,,,,12.8,,,,
97,PORTO ACRE ,13610001,ACRE,,,Primeira,Sexto,2019,2019-02-23,11:30,27.2,26.6,6.56,230.46001,,,5.32,,,20.1,,,0.94,,,,,,1046,0.128,,<1,,34.3,,,,
